domain,condition,condition_short,test,comparison,level_a,level_b,metric_a,metric_b,n_complete_subjects,n_nonzero_pairs,W,p_raw,p_bonferroni,significant_p_lt_05,stars,rank_biserial,mean_difference_a_minus_b,median_difference_a_minus_b
Waste,C1: All,C1,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,10,3,0.0117188,0.0351562,yes,*,0.890909,0.65,0.75
Waste,C1: All,C1,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,10,0,0.00195312,0.00585938,yes,**,1,0.65,0.5
Waste,C1: All,C1,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,6,10.5,1,1,no,,0,0,0
Waste,C2: No,C2,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,9,0,0.00390625,0.0117188,yes,*,1,0.944444,1
Waste,C2: No,C2,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,5,2.5,0.3125,0.9375,no,,0.666667,0.4,0.5
Waste,C2: No,C2,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,11,9.5,0.0390625,0.117188,no,,-0.712121,-0.590909,-1
Waste,C3: Ours1,C3,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,7,7,0.359375,1,no,,0.5,0.285714,0.5
Waste,C3: Ours1,C3,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,6,9,1,1,no,,0.142857,0.0833333,0.5
Waste,C3: Ours1,C3,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,5,3,0.375,1,no,,-0.6,-0.3,-0.5
Waste,C4: Ours2,C4,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,12,0,0.000488281,0.00146484,yes,**,1,0.791667,1
Waste,C4: Ours2,C4,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,7,3.5,0.109375,0.328125,no,,0.75,0.428571,0.5
Waste,C4: Ours2,C4,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,11,4,0.0078125,0.0234375,yes,*,-0.878788,-0.590909,-0.5
Waste,C5: KnowNo,C5,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,9,9,0.117188,0.351562,no,,0.6,0.388889,0.5
Waste,C5: KnowNo,C5,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,7,7,0.359375,1,no,,0.5,0.285714,0.5
Waste,C5: KnowNo,C5,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,5,4.5,0.5625,1,no,,-0.4,-0.3,-0.5
Tomato,C1: All,C1,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,9,3.5,0.0273438,0.0820312,no,,0.844444,0.555556,0.5
Tomato,C1: All,C1,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,7,7,0.359375,1,no,,0.5,0.285714,0.5
Tomato,C1: All,C1,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,8,7,0.171875,0.515625,no,,-0.611111,-0.375,-0.5
Tomato,C2: No,C2,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,8,0,0.0078125,0.0234375,yes,*,1,0.6875,0.5
Tomato,C2: No,C2,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,5,5,0.75,1,no,,-0.333333,-0.2,-0.5
Tomato,C2: No,C2,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,9,0,0.00390625,0.0117188,yes,*,-1,-0.722222,-0.5
Tomato,C3: Ours1,C3,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,6,3,0.1875,0.5625,no,,0.714286,0.416667,0.5
Tomato,C3: Ours1,C3,Wilcoxon signed-rank exact,Lv1 vs Lv3,Lv1,Lv3,SAGAT1,SAGAT3,12,7,4,0.125,0.375,no,,-0.714286,-0.357143,-0.5
Tomato,C3: Ours1,C3,Wilcoxon signed-rank exact,Lv2 vs Lv3,Lv2,Lv3,SAGAT2,SAGAT3,12,9,3.5,0.0273438,0.0820312,no,,-0.844444,-0.555556,-0.5
Tomato,C4: Ours2,C4,Wilcoxon signed-rank exact,Lv1 vs Lv2,Lv1,Lv2,SAGAT1,SAGAT2,12,9,12,0.257812,0.773438,no,,0.466667,0.277778,0.5
